age,gender,exp,region,marka,year,engine,kbm,rise
60,1,1,200,Ford,2004,522,4,0
43,1,16,144,Buick,1986,691,2,1
48,1,15,22,Chevrolet,2009,133,1,1
35,0,9,32,Oldsmobile,1995,146,1,1
51,1,33,75,Ford,2012,128,1,0
50,0,18,95,Pontiac,2000,144,3,0
34,0,31,90,Mazda,2009,151,0,1
54,0,21,195,Ford,1989,88,4,1
40,1,34,211,Acura,2010,653,3,1
44,0,19,42,Ford,2004,120,1,1
37,1,20,45,Lexus,2006,150,3,1
34,0,5,207,Dodge,2005,423,1,0
50,1,36,87,Eagle,1994,104,1,0
53,0,2,41,Chevrolet,1997,87,4,0
43,0,5,118,Land Rover,2008,191,4,1
55,1,18,154,Pontiac,1999,138,4,0
53,1,6,180,Toyota,2005,94,1,0
35,1,22,90,Dodge,2003,82,2,1
45,0,1,85,Hyundai,2012,338,1,0
39,0,8,18,Volvo,2002,213,4,1
59,1,22,45,Mercedes-Benz,2009,86,4,0
42,1,13,102,Mazda,1995,137,0,0
34,0,24,79,Mazda,1992,154,0,0
31,0,16,169,GMC,1992,120,0,0
28,0,24,61,BMW,2012,144,4,1
43,1,18,2,Lamborghini,1995,125,3,0
48,0,2,161,Mitsubishi,1995,110,3,0
47,0,39,125,Porsche,1986,116,2,1
44,0,17,73,Ford,1992,93,0,0
46,1,24,89,Toyota,1995,130,1,1
60,0,5,194,Honda,1994,122,4,1
33,0,6,217,Volkswagen,2012,306,4,1
32,0,1,172,Chevrolet,2010,159,2,0
44,1,11,7,Chevrolet,1969,135,3,1
35,0,13,214,Honda,1995,160,3,1
40,0,15,78,Chevrolet,2003,80,3,1
54,1,16,169,Mercedes-Benz,2011,153,3,0
49,1,1,45,Lincoln,2013,484,0,0
36,0,3,89,Lincoln,1990,207,4,0
52,0,16,80,Saab,1998,142,4,1
41,1,7,153,Chevrolet,1999,95,2,0
39,1,8,116,Chrysler,1994,120,3,1
56,0,18,44,Toyota,1997,84,0,0
49,0,4,187,Suzuki,2000,153,1,1
38,0,3,167,Chevrolet,2005,250,0,1
43,0,1,50,Mercedes-Benz,2000,453,1,1
50,0,12,163,BMW,2004,118,3,0
63,0,5,151,Honda,2001,271,3,0
52,0,24,129,Dodge,2002,154,3,0
35,1,2,156,Subaru,1990,154,0,1
43,0,6,206,Mercedes-Benz,1997,177,1,0
41,0,13,187,Mitsubishi,2000,135,4,0
40,1,1,31,Pontiac,2003,85,4,1
31,1,32,17,Audi,2006,122,4,0
47,0,13,27,Porsche,2001,83,4,1
53,1,1,72,Toyota,1995,93,0,1
39,0,8,2,Ram,2011,89,3,1
33,1,16,199,Mitsubishi,1992,101,0,0
59,1,5,187,Mercury,2002,96,1,0
42,1,8,4,Acura,2010,301,0,0
40,1,30,74,Toyota,1996,99,2,1
